source,app_id,app_name,review_id,text,rating,thumbs_up_count,review_created_version,app_version,date,reply_content,replied_at,label_gold,summary_gold
google_play,org.telegram.messenger,Telegram,682101d5-9e4d-4756-80d1-5fc3435563ca,"Приложение сломано на Android 16. Бесконечное «Соединение...», хотя весь остальной интернет с VPN работает идеально. Полностью сломалась синхронизация облака: на ПК все папки и чаты на месте, а на телефоне отображается только малая часть. Сотни чатов просто исчезли из интерфейса! Новые действия с ПК телефон полностью игнорирует. Сброс кэша через отладку не помогает. Разработчики, чините сетевую пагинацию и работу с базой на свежих версиях Android, это позор.",1,0,12.2.10,12.2.10,2026-05-22 19:12:17,,,,
google_play,org.telegram.messenger,Telegram,192d2e63-f936-4d55-b30c-41126ad82b07,"приложение супер.🔥 одно из любимых.всегда смотрю там фильмы , много классных ботов и каналов .🤍вот только жаль , например если я сделаю аккаунт на другой номер и на другой емайл , то я не смогу его восстановить без пароля на тот другой эмейл, я так уже потеряла свой аккаунт , а он мне очень нужен был 💔обидно (( разработчики , сделайте что-нибудь пожалуйста )✨",5,0,12.7.3,12.7.3,2026-05-22 19:11:30,,,,
google_play,org.telegram.messenger,Telegram,e896ae93-f30d-49b0-a5fd-b46e23113f69,много визуальных багов после редизайна,3,0,12.7.3,12.7.3,2026-05-22 19:01:31,,,,
google_play,org.telegram.messenger,Telegram,a95dae5d-76ec-4619-aa22-fcc3a08e1099,Ван Пис! Ван Пис существует!,5,0,,,2026-05-22 18:59:49,,,,
google_play,org.telegram.messenger,Telegram,22550fe4-4287-419b-8b1b-91fc548e74e4,хорошее,5,0,,,2026-05-22 18:52:25,"Thank you for your review, we appreciate it!",2026-05-22 20:03:20,,
google_play,org.telegram.messenger,Telegram,c66d0f22-b83b-4f45-abca-56e1f1706257,"х+у=.евое приложение. от слова совсем. вообще невозможно зарегистрироваться. звонки с кодом не поступают,смс тоже не приходит. и у службы поддержки язык в ж...е и руки там же и голова без мозгов. и это неисправимо .",1,0,,,2026-05-22 18:33:10,,,,
google_play,org.telegram.messenger,Telegram,9ee92f74-0a13-46ae-bd51-99b0afaa3d45,я не магу забегался,1,0,12.7.3,12.7.3,2026-05-22 18:23:15,,,,
google_play,org.telegram.messenger,Telegram,f5f5269a-9671-41a8-a3ed-29f2b0aeed24,"Не работает совсем,не зайти в телеграмм все чаты для работы не посмотреть ,все клиенты, кандидаты потеряны. Очень расстроилась . Купленная информация в телеграм потеряна ,так как не зайти не почитать очень не довольна Мне нравится больше всего этот мессенджер. А теперь все там ,не посмотреть рабочие чаты , каналы. Очень расстроена",5,0,12.7.3,12.7.3,2026-05-22 18:19:29,,,,
google_play,org.telegram.messenger,Telegram,b07560fd-466d-4fcf-89c9-f4b6a88f2548,"Не могу вести код с эл почты, пишет: ""Произошла ошибка""",3,0,12.7.3,12.7.3,2026-05-22 18:16:34,"Попробуйте проверить папку спама в вашей электронной почте или попробуйте запросить код еще раз. Если проблема сохраняется, напишите на sms@telegram.org для помощи.",2026-05-22 19:11:14,,
google_play,org.telegram.messenger,Telegram,f7293ec2-750d-42fc-a303-dd5cf243cac2,"Почему у меня удалилось приложения и не могу его скачать, коды не приходят на почту",1,0,12.7.3,12.7.3,2026-05-22 18:11:09,"Мы сожалеем, что у вас возникли проблемы с приложением. Пожалуйста, обновите текст отзыва, чтобы описать проблему, и мы постараемся помочь.",2026-05-22 18:09:28,,
